adres_id,ulica,nr_domu,nr_mieszkania,miejscowosc,kraj
310,I U Willets,10,21,Collis,Malaysia
311,Home Depot,2,20,Kiwalik,Barbados
312,Eltinge,6,38,Salladasburg,Cyprus
313,Stonebrook,4,2,Darmstadt,Kenya
314,Cadet,7,12,Biloxi,Uruguay
315,Greenbank,5,11,Paintsville,Bulgaria
316,Jeff Ryan,4,3,Quebradillas,Dominican Republic
317,S Northampton,6,33,Summers,Cambodia
318,Old Duff,6,45,Hopkinton,Argentina
319,Atlantic,9,11,Haddam,Russian Federation
320,Village Wood,10,39,Sand City,Hungary
321,Munger Farm,6,11,El Dorado,Bhutan
322,Doolan,1,42,Willow Island,Djibouti
323,Bombala,4,44,Ayer,Kiribati
324,Robsart,9,15,Supai,Uruguay
325,Wyre,10,24,Marble Hill,Angola
326,Squarey,9,6,Altus,Guinea
327,Osio,6,5,Green Grass,St Kitts & Nevis
328,Atherden,6,30,Fort Davis,St Kitts & Nevis
329,Watford High,8,42,Astatula,Korea South
330,Old Mansion,4,44,La Riviera,Tuvalu
331,Lady Ann,8,7,Redford,Malta
332,South Monroe,3,20,Perrysville,Estonia
333,Teleport,9,16,Laymantown,Botswana
334,Crow Piece,9,6,Centuria,Bangladesh
335,S Murphy,1,34,Wymer,Albania
336,Old Diehl,5,41,Medart,Bahrain
337,Banas,9,1,Fairwater,Italy
338,Jerningham,8,15,Elmodel,Chad
339,Rosemarie,10,48,Zama,Nepal
340,Joice,2,36,Soda Springs,Ireland {Republic}
341,Lin Gate,9,41,Harwich Port,Finland
342,Nice,5,22,Hardtner,Cameroon
343,Mouldsworth,1,24,Jonesburg,New Zealand
344,Chorley Old,6,29,Latta,Trinidad & Tobago
345,Tongres,1,1,Chana,Senegal
346,Olney Mill,9,36,Belvedere Park,Austria
347,North East,9,40,Twodot,Philippines
348,Gold Ridge,6,40,Mount Healthy,El Salvador
349,McCool,2,43,Watkins,Denmark
350,Bighorn Sheep,10,7,Carrollwood,Bulgaria
351,Aging Oak,7,30,Live Oak,Malta
352,Vista,6,44,Ashville,Ivory Coast
353,Stebbing,4,11,Wagontire,Mauritania
354,Antelope Springs,4,35,Lukeville,Gambia
355,Southeast Cambridge,4,3,Norris,Slovakia
356,Haydons,9,15,Pacific Beach,Mozambique
357,Pommel,3,9,Tijeras,Costa Rica
358,East Black Oak,5,50,Panama,Portugal
359,Hayday,8,25,Bailey's Crossroads,Tonga
360,Southwest Eastbrook,8,15,Lionville,Seychelles
361,Hill Born,1,1,Tokeland,Tajikistan
362,Old Cherry Hill,1,11,Reevesville,Vatican City
363,Mc Kee,1,1,McClelland,Kosovo
364,Summit Point,3,3,Strathcona,Belarus
365,Doris,3,47,Bellingham,Cambodia
366,Wakooka,5,46,Luis Llorens Torres,Uruguay
367,Arunah,8,30,Plumwood,Austria
368,Danenhower,10,39,Windermere,Canada
369,Garden Meadow,5,43,Mineralwells,Djibouti
370,Ravenet,7,1,Atherton,Iceland
371,Old Hall,10,2,West Lake Stevens,El Salvador
372,Hollygate,10,9,De Lisle,Tanzania
373,Oldstead,8,33,Mechanicsville,Mauritania
374,Colorada,2,2,Ojo Sarco,Benin
375,N Kenneth,9,1,Beaverton,Kenya
376,Strobel,10,24,Bethlehem,Senegal
377,S Rolfe,7,37,Brimfield,Greece
378,Tanzanite,3,8,Gleed,Vietnam
379,Pentecost,4,27,East White Plains,Gabon
380,Chimney House,9,7,Luis M. Cintron,Venezuela
381,Ramsay,7,29,Twain,Mauritania
382,Calview,3,26,Dellvale,Niger
383,Sagar,7,21,Blue Point,Ireland {Republic}
384,Taplins Farm,9,13,Iona,Finland
385,Horwath,2,47,Dot Lake,Gabon
386,Creighton,9,49,Ocean Bluff,United States
387,Camp Bluefields,3,10,Palmetto,Afghanistan
388,MITRE Corp Inner,7,22,Spirit,Ukraine
389,Kyme,8,34,Corbet,Rwanda
390,Hammerpond,6,14,Lakeshire,Chile
391,Skyview,10,38,Gladeview,Hungary
392,Shinn,2,6,Inola,Sweden
393,Jenvey,1,6,Bridge,Nepal
394,Boscastle,3,7,Croton,South Africa
395,Rock Lawn,5,27,Stead,Cambodia
396,Eaglehurst,3,50,Mountain Village,Azerbaijan
397,Kildare,7,30,Telogia,Liechtenstein
398,Kosmas,1,25,Bethel Island,Uzbekistan
399,Tithepit Shaw,4,26,Squire,Dominica
400,McKeon,2,13,Twitty,Denmark
401,Sandpiper Key,10,13,Caddo Gap,Tajikistan
402,Massapoag,3,45,Callery,Gabon
403,Chaloner,4,7,Ninock,India
404,East Chiles,6,6,Grand Pass,Peru
405,N Salt Creek,4,38,Osburn,Croatia
406,Clisby,5,28,Lawsonia,Denmark
407,Rosebank,1,4,Adell,Haiti
408,Eire,1,16,Bridge,India
409,Beech Park,6,37,Grandville,Central African Rep
410,Lavalencia,10,39,Dumbarton,Burundi
411,Stonesteads,1,23,Colmesneil,Nigeria
412,Garrick,10,32,Cut and Shoot,Grenada
413,Susanah,2,2,Essington,Slovakia
414,Edmons,7,31,South Canal,Samoa
415,Moora,1,9,Bay Hill,Iraq
416,Bidurgal,5,48,Blue Island,Estonia
417,Striped Bass,10,30,Sumac,St Lucia
418,Thunder Chase,9,49,Wawona,Spain
419,Rawding,7,37,Theodosia,Croatia
420,Lapridge,1,26,Kinross,Kyrgyzstan
421,Terrapin Hills,2,38,Clear Lake,Dominica
422,Bandy,10,31,Choctaw Bluff,Tunisia
423,J Hart Clinton,8,36,Milltown,Barbados
424,Latchford,4,35,Sinclairville,Brazil
425,Nemeth,8,6,Meyers Chuck,Sao Tome & Principe
426,Queenbeyan,1,49,Reading,Liberia
427,Cranbury Cross,1,8,Wartrace,Liberia
428,Carbondale,4,39,East Riverdale,Mozambique
429,Ayling,3,30,Biscoe,Canada
430,Bottles,8,8,Keener,Czech Republic
431,Rogers Wood,10,28,Amesville,Ireland {Republic}
432,Yolande,7,10,Heidrick,Venezuela
433,Dragor,7,32,Otter Lake,Latvia
434,Loddiges,10,37,Black River Village,Saudi Arabia
435,Springarden,9,11,Greentown,Philippines
436,Saint Peter,3,19,Elgin,Bosnia Herzegovina
437,Vizcano,3,49,Drakes Branch,Mozambique
438,Kethel,10,47,Tustin,Saint Vincent & the Grenadines
439,N Cabin,3,3,Cross City,Samoa
440,Hammonds Plains,1,9,Jones Creek,Nicaragua
441,Barrowfield,2,48,Jumpertown,Vatican City
442,Calmos,2,50,Panthersville,Jamaica
443,Bishoff,6,35,Brownsboro,Mauritania
444,Cowbarn,8,16,McIntyre,Argentina
445,Tall Grass,8,24,Money Creek,Tajikistan
446,Bickell,9,28,Weldon Spring Heights,Russian Federation
447,Millbottom,7,20,Ewa Gentry,Jamaica
448,Upper Gates,9,16,Terrace Park,Lebanon
449,Parish,4,7,Rutersville,Monaco
450,Ram Ridge,9,7,Prince George,Ireland {Republic}
451,Babington,6,4,West Sand Lake,Congo
452,Pordon,9,34,Harrogate,East Timor
453,Umfreville,1,34,Ladue,Mauritius
454,Saint George Barber,9,28,New Smyrna Beach,Estonia
455,Kentridge,10,44,Cromwell,Moldova
456,Sevenoake,8,16,Reagan,Sudan
457,Lucianna,6,24,Silco,Kyrgyzstan
458,Bodily,2,43,Franklin Lakes,Poland
459,Kashgar,1,16,Avera,South Sudan
460,Harley Run,4,1,Winton,Singapore
461,Independent Hill,7,36,Pembroke,Ukraine
462,E Sherwood,10,21,Bylas,Malaysia
463,Hare Hall,2,14,Lowland,Argentina
464,Heatherhill,5,23,Florida,Portugal
465,Owen Sound,7,48,Las Lomas,Latvia
466,Tatton,4,2,Kenton,Dominican Republic
467,E Camden,5,29,Holman,Micronesia
468,Beech Bottom,10,34,Spring Mill,Congo
469,Swans Creek,4,30,Stanhope,Afghanistan
470,Mountain Spring,5,5,West Mineral,Sweden
471,Field Way  Hill,2,42,Carmine,Swaziland
472,Dagnets,3,5,Shell Lake,Panama
473,Dove Dale,4,9,Glen Saint Mary,Swaziland
474,North Tantau,7,14,Bordelonville,Trinidad & Tobago
475,Southglen,9,9,Janesville,Tuvalu
476,S Lyle,7,41,Ridgeland,Netherlands
477,Garber,4,9,Ward,Kyrgyzstan
478,Seitz,8,34,Sunset Beach,Thailand
479,Timber Trails,8,23,Pittwood,Uzbekistan
480,Bridle Pass,3,23,Saint Libory,Tuvalu
481,Rochambeau,2,27,Atalissa,Pakistan
482,Colvin Run,8,37,Murrieta Hot Springs,Uzbekistan
483,S Justine,6,8,Gaza,Moldova
484,Cannons,1,37,Downing,Ethiopia
485,Bitternut,10,6,Terreton,Austria
486,North Woodrow,5,34,Becker,Kyrgyzstan
487,Trudel,9,49,Brashear,Nepal
488,Gold Poppy,10,32,McAfee,Congo
489,Claradon,10,19,Greenport,Malaysia
490,Easington,7,5,Pauls Valley,Ukraine
491,Hightree,10,44,La Grange Park,Solomon Islands
492,Edgecroft,10,22,Dolomite,Kenya
493,Surat,1,37,Alice,Montenegro
494,Le Visnet,1,44,Bryceville,Jamaica
495,Graff,2,24,Gladeview,Djibouti
496,Distribution,9,8,Cogdell,Tajikistan
497,Lynns Retreat,2,6,Rockypoint,Slovakia
498,Bendywine,4,2,Fruit Hill,Maldives
499,Torpie,9,40,Alpha,Bahamas
500,Petts,8,11,Huxford,Lebanon
501,Ews Woods,2,48,Tin City,Costa Rica
502,Wichard,5,5,Steward,Bangladesh
503,St Roman,5,32,Quinebaug,Libya
504,Nordling,1,28,Justiceburg,Argentina
505,Manito,4,47,Rose,Singapore
506,N Edward,5,30,Red Oaks Mill,Austria
507,Dibbs,9,43,Wamic,Israel
508,Redclyffe,2,35,Otter,Barbados
509,Mima,2,43,Mount Healthy,Portugal
510,Garzot,6,34,Pinola,Mali
511,HIghfield,3,20,Patriot,Dominica
512,Kingdom,1,40,East Bethel,Kiribati
513,Leisure World,10,8,Acy,Sudan
514,Back Union,8,33,Castanea,Pakistan
515,Fincastle,3,26,Watonga,Morocco
516,Blackmar,1,37,Makaha,Mauritania
517,Hart Hill,9,18,Co-Operative,Mongolia
518,Patteson,4,28,Seven Lakes,Switzerland
519,Hayward,5,21,Royal Palm Beach,Algeria
520,Forkey,2,22,Salamonia,Cyprus
521,Keira,10,21,Sheldon,Ireland {Republic}
522,Laud Honm,5,33,Borth,Philippines
523,Petty,1,32,Benham,Greece
524,Blessington,5,25,Poudre Park,Canada
525,E Frank,1,45,Eliot,Mauritania
526,Haven Green  Gordon,6,36,Horse Cave,Haiti
527,Torr Top,3,35,Redondo Beach,Costa Rica
528,Automation,2,25,Gerlach,Argentina
529,Merlin,5,29,Crenshaw,Uzbekistan
530,West Red Line,7,29,Salitpa,Nigeria
531,Rollinson,2,9,Rondo,Eritrea
532,Portelet,7,43,Ocean Shores,Azerbaijan
533,Woolmongers,10,6,Pinch,Turkey
534,Hames,4,20,Sans Souci,Sierra Leone
535,N Wedgewood,4,23,Hovland,Dominica
536,White Duck,5,26,Petroleum,Monaco
537,Emden,8,36,Alum Bridge,Estonia
538,Southgate,7,41,Port Lavaca,Qatar
539,Interurban,3,31,Nederland,Congo
540,Clave,7,23,Gause,Ukraine
541,W Rfd Checker,8,14,Shopton,Morocco
542,Soare,5,38,Home Gardens,Portugal
543,Hammitt,5,25,Navesink,Andorra
544,South Reach,3,2,New Munster,Vietnam
545,Chronicle,2,45,Factoryville,Papua New Guinea
546,New Windsor,6,29,Maxville,Ireland {Republic}
547,Crescent,3,50,Tulare,United States
548,Glacial Falls,9,5,Spring,Sweden
549,Elderly,7,33,Pine City,Saint Vincent & the Grenadines
550,Birchanger,4,41,Greenbelt,Nicaragua
551,Ebbisham,5,50,Swift Falls,Ethiopia
552,Mossbank,6,31,Koppel,Vietnam
553,West Border,10,21,Holts Corner,Netherlands
554,Hurst Mill,10,9,Moss Point,Luxembourg
555,Harbourfield,5,38,Welch,Moldova
556,Clitheroe,7,44,Parchment,Kuwait
557,Bedle,6,15,Satin,Guatemala
558,Bell Vale,7,17,Kirby,Trinidad & Tobago
559,Luxemburg,10,16,Tupelo,Samoa
560,Katz,2,28,Marine on Saint Croix,Taiwan
561,Emerald Hills,5,24,Sand Creek,Angola
562,S Victoria,7,25,Yantis,Maldives
563,Mattingley Bottle,3,18,Bannertown,Dominica
564,Back Ollerton,9,46,White Plains,Albania
565,South Bayview,4,42,Congers,Namibia
566,Doughty,5,4,Wilmar,Slovakia
567,Kelstern,2,9,Isleta,Bolivia
568,Anny,7,34,Corvallis,Venezuela
569,Namleps,9,20,Coin,Kenya
570,Darbishire,1,49,Roads End,Zambia
571,Restwood,3,16,New Vernon,Ivory Coast
572,South Mount Baker,8,36,Darrington,Congo
573,Forty Acres,8,27,Alcalde,Maldives
574,Gisborn,6,13,Dinuba,Libya
575,Hawkweed,3,22,Lawrence,Bosnia Herzegovina
576,Sandelin,1,31,Elsie,Uzbekistan
577,S Blaisdell,10,32,Delhi Hills,Ecuador
578,Wakeland,8,5,Carmine,Venezuela
579,Dorsch,1,16,Arden Town,Senegal
580,McMurdie,1,28,Elk Mills,South Africa
581,Dillwynia,9,6,Pioneer Village,Tunisia
582,Coghlan,3,2,Calamine,Kazakhstan
583,Eagandale,10,33,Saint Marks,Zambia
584,St Austells,8,47,Lambertville,Mongolia
585,Phelps,8,40,Rogerson,Andorra
